Word,Length,Freq_HAL,Log_Freq_HAL
elite,5,8214,9.014
elitism,7,441,6.089
elitist,7,1786,7.488
elixir,6,180,5.193
Elizabeth,9,9706,9.18
Elizabethan,11,228,5.429
Elizabethans,12,7,1.946
elk,3,1184,7.077
elks,4,92,4.522
Ellen,5,5048,8.527
Elliott,7,3147,8.054
ellipse,7,316,5.756
ellipses,8,192,5.257
ellipsis,8,172,5.147
ellipsoid,9,83,4.419
ellipsoids,10,28,3.332
elliptical,10,427,6.057
elm,3,4550,8.423
Elmer,5,1787,7.488
Elmira,6,225,5.416
elms,4,136,4.913
elocution,9,44,3.784
elongate,8,107,4.673
elongated,9,338,5.823
elongation,10,336,5.817
elope,5,85,4.443
eloped,6,40,3.689
elopement,9,12,2.485
eloquence,9,339,5.826
eloquent,8,887,6.788
else,4,176434,12.081
else's,6,10035,9.214
elsewhere,9,18631,9.833
elucidate,9,258,5.553
elucidated,10,270,5.598
elucidation,11,200,5.298
elude,5,291,5.673
eluded,6,288,5.663
eludes,6,330,5.799
eluding,7,104,4.644
elusion,7,2,0.693
elusive,7,1196,7.087
elusiveness,11,6,1.792
elusory,7,0,0
Elvis,5,5227,8.562
emaciate,8,2,0.693
emaciated,9,141,4.949
emaciation,10,9,2.197
emanated,8,172,5.147
emanating,9,527,6.267
emanation,9,42,3.738
emanations,10,105,4.654
emancipate,10,76,4.331
emancipated,11,108,4.682
emancipation,12,513,6.24
emancipator,11,21,3.045
emasculate,10,56,4.025
emasculated,11,82,4.407
emasculation,12,27,3.296
embalm,6,9,2.197
embalmment,10,2,0.693
embank,6,0,0
embankment,10,142,4.956
embargo,7,3228,8.08
embark,6,469,6.151
embarkation,11,36,3.584
embarked,8,419,6.038
embarrass,9,738,6.604
embarrassed,11,2986,8.002
embarrassing,12,2277,7.731
embarrassingly,14,136,4.913
embarrassment,13,2119,7.659
embassies,9,516,6.246
embassy,7,4493,8.41
embattled,9,148,4.997
embed,5,736,6.601
embedded,8,8792,9.082
embellish,9,115,4.745
embellished,11,142,4.956
embellishment,13,130,4.868
ember,5,593,6.385
embezzle,8,21,3.045
embezzlement,12,196,5.278
embezzling,10,65,4.174
embitter,8,6,1.792
embittered,10,168,5.124
emblazon,8,6,1.792
emblem,6,579,6.361
emblematic,10,50,3.912
embodied,8,887,6.788
embodies,8,371,5.916
embodiment,10,447,6.103
embodiments,11,46,3.829
embody,6,643,6.466
embodying,9,112,4.718
embolden,8,31,3.434
emboldened,10,151,5.017
embolism,8,68,4.22
emboss,6,35,3.555
embossed,8,659,6.491
embrace,7,3151,8.055
embraced,8,1358,7.214
embraces,8,477,6.168
embracing,9,676,6.516
embroider,9,41,3.714
embroidered,11,357,5.878
embroideries,12,58,4.06
embroidery,10,925,6.83
embroil,7,14,2.639
embroiled,9,220,5.394
embryo,6,1557,7.351
embryonic,9,260,5.561
emcee,5,52,3.951
emerald,7,6222,8.736
emeralds,8,159,5.069
emerge,6,2224,7.707
emerged,7,2517,7.831
emergence,9,1421,7.259
emergencies,11,987,6.895
emergency,9,13361,9.5
emergent,8,422,6.045
emerges,7,919,6.823
emerging,8,5797,8.665
emeritus,8,780,6.659
emery,5,801,6.686
emigrant,8,127,4.844
emigrate,8,327,5.79
emigrated,9,715,6.572
emigrating,10,104,4.644
emigration,10,376,5.93
eminence,8,139,4.934
eminent,7,767,6.642
eminently,9,386,5.956
emir,4,175,5.165
emissaries,10,115,4.745
emissary,8,645,6.469
emission,8,1831,7.513
emit,4,1140,7.039
emitted,7,990,6.898
emitting,8,567,6.34
Emma,4,1984,7.593
Emmanuel,8,927,6.832
Emma's,6,93,4.533
emollient,9,5,1.609
emote,5,57,4.043
emotion,7,4530,8.418
emotional,9,11869,9.382
emotionalism,12,120,4.787
emotionality,12,30,3.401
emotionally,11,3528,8.168
emotionless,11,132,4.883
emotions,8,5682,8.645
emotive,7,219,5.389
empathy,7,2166,7.681
emperor,7,5122,8.541
emperors,8,528,6.269
emperor's,9,848,6.743
emphases,8,135,4.905
emphasis,8,10226,9.233
emphasize,9,3258,8.089
emphasized,10,1865,7.531
emphasizes,10,1111,7.013
emphasizing,11,1012,6.92
emphatic,8,347,5.849
emphatically,12,706,6.56
emphysema,9,115,4.745
empire,6,16228,9.694
empires,7,7138,8.873
empiric,7,31,3.434
empirical,9,2679,7.893
empirically,11,648,6.474
empiricism,10,230,5.438
empiricist,10,118,4.771
employ,6,3582,8.184
employable,10,99,4.595
employed,8,6857,8.833
employee,8,11023,9.308
employees,9,19940,9.9
employee's,10,469,6.151
employer,8,27757,10.231
employers,9,13155,9.485
employing,9,1501,7.314
employment,10,22833,10.036
employs,7,1691,7.433
emporium,8,976,6.883
empower,7,1025,6.932
empowered,9,1122,7.023
empowering,10,529,6.271
empress,7,590,6.38
emptied,7,722,6.582
emptier,7,31,3.434
empties,7,249,5.517
emptiness,9,1231,7.116
empty,5,19261,9.866
emptying,8,407,6.009
emu,3,991,6.899
emulate,7,3228,8.08
emulated,8,1135,7.034
emulation,9,7378,8.906
emulsified,10,13,2.565
emulsify,8,11,2.398
emulsion,8,377,5.932
enable,6,12551,9.438
enabled,7,7398,8.909
enables,7,5403,8.595
enabling,8,2624,7.872
enact,5,816,6.704
enacted,7,2791,7.934
enacting,8,320,5.768
enactment,9,607,6.409
enamel,6,334,5.811
enameling,9,21,3.045
enamelled,9,12,2.485
enamelware,10,2,0.693
enamour,7,4,1.386
encamp,6,5,1.609
encamped,8,40,3.689
encampment,10,152,5.024
encapsulate,11,390,5.966
encase,6,55,4.007
encased,7,418,6.035
encephalic,10,2,0.693
encephalitis,12,187,5.231
enchain,7,0,0
enchained,9,25,3.219
enchant,7,1933,7.567
enchanted,9,2236,7.712
enchanter,9,572,6.349
enchanting,10,238,5.472
enchantingly,12,3,1.099
enchantment,11,3440,8.143
enchantress,11,2202,7.697
encipher,8,13,2.565
enciphered,10,47,3.85
encircle,8,130,4.868
encircled,9,236,5.464
encirclement,12,51,3.932
enclave,7,588,6.377
enclaves,8,255,5.541
enclose,7,1926,7.563
enclosed,8,5093,8.536
encloses,8,67,4.205
enclosing,9,610,6.413
enclosure,9,1831,7.513
encode,6,1762,7.474
encompass,9,975,6.882
encompassed,11,242,5.489
encompasses,11,1009,6.917
encore,6,2173,7.684
encores,7,150,5.011
encounter,9,8451,9.042
encountered,11,7826,8.965
encounters,10,3247,8.085
encourage,9,16191,9.692
encouraged,10,12437,9.428
encouragement,13,2164,7.68
encourages,10,2801,7.938
encouraging,11,4268,8.359
encouragingly,13,43,3.761
encroach,8,96,4.564
encroached,10,36,3.584
encroaching,11,183,5.209
encroachment,12,332,5.805
encrust,7,13,2.565
encrustation,12,13,2.565
encrusted,9,167,5.118
encumber,8,38,3.638
encumbered,10,170,5.136
encumbrances,12,29,3.367
encyclopedia,12,4635,8.441
encyclopedias,13,337,5.82
encyclopedic,12,196,5.278
end,3,227504,12.335
endanger,8,708,6.562
endangered,10,2770,7.927
endangering,11,448,6.105
endeared,8,72,4.277
endearing,9,377,5.932
endearment,10,183,5.209
endearments,11,22,3.091
endeavor,8,2365,7.769
endeavored,10,100,4.605
endeavoring,11,50,3.912
endeavors,9,1257,7.136
ended,5,18912,9.848
endemic,7,509,6.232
endgame,7,405,6.004
ending,6,14130,9.556
endings,7,1582,7.366
endive,6,67,4.205
endless,7,6157,8.725
endlessly,9,1291,7.163
endocrine,9,184,5.215
endogamous,10,14,2.639
endogamy,8,37,3.611
endogenous,10,202,5.308
endorse,7,2189,7.691
endorsed,8,2177,7.686
endorsement,11,2140,7.669
endorsing,9,550,6.31
endothermic,11,27,3.296
endow,5,89,4.489
endowed,7,1056,6.962
endowment,9,794,6.677
endowments,10,191,5.252
endows,6,30,3.401
endpoints,9,183,5.209
ends,4,27525,10.223
endurable,9,15,2.708
endurance,9,2004,7.603
endure,6,1860,7.528
endured,7,756,6.628
endures,7,218,5.384
enduring,8,1363,7.217
enduringly,10,1,0
enema,5,805,6.691
enemies,7,9064,9.112
enemy,5,16802,9.729
enemy's,7,512,6.238
energetic,9,1991,7.596
energies,8,1907,7.553
energize,8,167,5.118
energized,9,252,5.529
energizes,9,48,3.871
energy,6,58596,10.978
enervate,8,160,5.075
enervating,10,17,2.833
enervation,10,9,2.197
enfeeble,8,4,1.386
enfold,6,34,3.526
enforce,7,5451,8.604
enforceable,11,389,5.964
enforced,8,3683,8.211
enforcement,11,9839,9.194
enforcers,9,348,5.852
enforces,8,502,6.219
enforcing,9,1608,7.383
enfranchise,11,13,2.565
enfranchisement,15,12,2.485
engage,6,7331,8.9
engaged,7,7270,8.892
engagement,10,2508,7.827
engagements,11,772,6.649
engages,7,767,6.642
engaging,8,3092,8.037
engagingly,10,47,3.85
engender,8,255,5.541
engendered,10,208,5.338
engine,6,39577,10.586
engineer,8,47390,10.766
engineering,11,70438,11.162
engineers,9,24712,10.115
engines,7,10520,9.261
engine's,8,179,5.187
England,7,36785,10.513
Englander,9,73,4.29
Englanders,10,59,4.078
England's,9,567,6.34
English,7,77179,11.254
Englishman,10,568,6.342
Englishmen,10,224,5.412
Englishwoman,12,36,3.584
engraft,7,15,2.708
engrave,7,57,4.043
engraved,8,657,6.488
engraver,8,59,4.078
engraving,9,523,6.26
engravings,10,224,5.412
engross,7,6,1.792
engrossed,9,308,5.73
engrossing,10,143,4.963
engulf,6,172,5.147
engulfed,8,432,6.068
engulfing,9,106,4.663
engulfs,7,55,4.007
enhance,7,6695,8.809
enhanced,8,10962,9.302
enhancement,11,3892,8.267
enhances,8,1077,6.982
enhancing,9,1668,7.419
enigma,6,1995,7.598
enigmatic,9,330,5.799
enjoin,6,348,5.852
enjoined,8,152,5.024
enjoy,5,46729,10.752
enjoyable,9,4272,8.36
enjoyed,7,13416,9.504
enjoying,8,6712,8.812
enjoyment,9,4058,8.308
enjoys,6,3264,8.091
enlarge,7,781,6.661
enlarged,8,1007,6.915
enlargement,11,505,6.225
enlargements,12,117,4.762
enlarging,9,374,5.924
enlighten,9,3100,8.039
enlightened,11,2955,7.991
enlightening,12,1316,7.182
enlightenment,13,2784,7.932
enlist,6,531,6.275
enlisted,8,1021,6.929
enlistment,10,97,4.575
enlists,7,44,3.784
enliven,7,37,3.611
enlivened,9,50,3.912
enmesh,6,6,1.792
enmeshed,8,104,4.644
enmities,8,10,2.303
enmity,6,327,5.79
enormity,8,186,5.226
enormous,8,7583,8.934
enormously,10,1520,7.326
enough,6,191008,12.16
enrage,6,75,4.317
enraged,7,555,6.319
enrapture,9,8,2.079
enraptured,10,119,4.779
enrich,6,749,6.619
enriched,8,823,6.713
enriching,9,237,5.468
enrichment,10,575,6.354
enroll,6,1329,7.192
enrolled,8,1667,7.419
enrollees,9,55,4.007
enrolling,9,277,5.624
enrollment,10,1354,7.211
ensconced,9,135,4.905
ensemble,8,3102,8.04
ensembles,9,298,5.697
enshrine,8,56,4.025
enshroud,8,5,1.609
ensign,6,2072,7.636
enslave,7,639,6.46
enslaved,8,860,6.757
enslavement,11,387,5.958
enslaving,9,225,5.416
ensnare,7,45,3.807
ensue,5,385,5.953
ensued,6,393,5.974
ensues,6,1130,7.03
ensuing,7,936,6.842
ensure,6,17712,9.782
ensures,7,1612,7.385
ensuring,8,2452,7.805
entail,6,840,6.733
entails,7,1243,7.125
entangle,8,94,4.543
entanglement,12,137,4.92
enter,5,36407,10.503
entered,7,15287,9.635
entering,8,8869,9.09
enterprise,10,15069,9.62
enterprises,11,7769,8.958
enterprising,12,411,6.019
enterprisingly,14,1,0
enters,6,4122,8.324
entertain,9,2531,7.836
entertained,11,1117,7.018
entertainer,11,514,6.242
entertainers,12,446,6.1
entertaining,12,5312,8.578
entertainment,13,16689,9.723
entertainments,14,117,4.762
enthral,7,0,0
enthralled,10,284,5.649
enthralling,11,79,4.369
enthrone,8,1,0
enthronement,12,7,1.946
enthuse,7,16,2.773
enthusiasm,10,2738,7.915
enthusiasms,11,42,3.738
enthusiast,10,1361,7.216
enthusiastic,12,2608,7.866
enthusiastically,16,884,6.784
enthusiasts,11,2515,7.83
entice,6,480,6.174
enticement,10,83,4.419
enticements,11,13,2.565
enticing,8,379,5.938
entire,6,62545,11.044
entirely,8,26379,10.18
entirety,8,3027,8.015
entities,8,6504,8.78
entitle,7,385,5.953
entitled,8,12629,9.444
entitlement,11,1200,7.09
entitles,8,426,6.054
entity,6,10425,9.252
entomb,6,21,3.045
entombed,8,219,5.389
entomologist,12,115,4.745
entomology,10,340,5.829
entourage,9,284,5.649
entrails,8,317,5.759
entrain,7,8,2.079
entrance,8,6373,8.76
entranced,9,238,5.472
entranceway,11,16,2.773
entrant,7,213,5.361
entrap,6,87,4.466
entrapment,10,237,5.468
entreat,7,27,3.296
entreated,9,17,2.833
entreaty,8,16,2.773
entree,6,205,5.323
entrench,8,63,4.143
entrenched,10,782,6.662
entrenchment,12,70,4.248
entrepreneur,12,1914,7.557
entrepreneurs,13,2069,7.635
entries,7,14173,9.559
entropy,7,3190,8.068
entrust,7,310,5.737
entrusted,9,421,6.043
entrusting,10,43,3.761
entry,5,34588,10.451
entwine,7,48,3.871
entwined,8,183,5.209
enumerate,9,332,5.805
enumerated,10,603,6.402
enumeration,11,445,6.098
enunciate,9,37,3.611
enunciated,10,116,4.754
enunciation,11,67,4.205
envelop,7,372,5.919
envelope,8,10813,9.289
envelopes,9,3630,8.197
enveloping,10,92,4.522
envelopment,11,65,4.174
envenomed,9,3,1.099
enviable,8,143,4.963
enviably,8,4,1.386
envied,6,230,5.438
envious,7,600,6.397
enviously,9,39,3.664
environ,7,787,6.668
environing,10,5,1.609
environment,11,70839,11.168
environmental,13,19350,9.87
environmentalism,16,315,5.753
environmentalist,16,960,6.867
environments,12,10964,9.302
environs,8,365,5.9
envisage,8,248,5.513
envisaged,9,284,5.649
envisages,9,70,4.248
envision,8,1204,7.093
envisioned,10,752,6.623
envisions,9,196,5.278
envoy,5,912,6.816
envoys,6,97,4.575
envy,4,2556,7.846
enwrap,6,3,1.099
enzymatic,9,169,5.13
enzyme,6,1396,7.241
enzymes,7,1095,6.999
ephemeral,9,294,5.684
epic,4,5310,8.577
epicenter,9,265,5.58
epics,5,242,5.489
epicure,7,23,3.135
Epicurean,9,71,4.263
Epicurus,8,22,3.091
epicycle,8,3,1.099
epidemic,8,1451,7.28
epidemics,9,386,5.956
epidemiological,15,436,6.078
epidermis,9,84,4.431
epiglottis,10,12,2.485
epigram,7,38,3.638
epigrammatic,12,10,2.303
epigrams,8,32,3.466
epigraph,8,12,2.485
epilepsy,8,729,6.592
epileptic,9,283,5.645
epilogue,8,482,6.178
epiphany,8,178,5.182
Episcopal,9,472,6.157
Episcopalian,12,141,4.949
episode,7,31294,10.351
episodes,8,15188,9.628
episodic,8,174,5.159
epistemology,12,459,6.129
epistle,7,288,5.663
epistles,8,255,5.541
epitaph,7,369,5.911
epithet,7,326,5.787
epithets,8,328,5.793
epitome,7,367,5.905
epitomize,9,53,3.97
epitomized,10,77,4.344
epitomizes,10,110,4.7
epoch,5,884,6.784
epsilon,7,986,6.894
epsom,5,254,5.537
equable,7,9,2.197
equal,5,40062,10.598
equalitarian,12,26,3.258
equality,8,5296,8.575
equalization,12,308,5.73
equalize,8,297,5.694
equalizers,10,65,4.174
equalizing,10,176,5.17
equalled,8,153,5.03
equally,7,13304,9.496
equals,6,3375,8.124
equanimity,10,108,4.682
equate,6,2000,7.601
equated,7,612,6.417
equating,8,663,6.497
equation,8,7382,8.907
equations,9,5609,8.632
equator,7,877,6.777
equatorial,10,520,6.254
equestrian,10,342,5.835
equidistant,11,89,4.489
equidistantly,13,5,1.609
equilateral,11,99,4.595
equilibrated,12,13,2.565
equilibrium,11,3598,8.188
equilibriums,12,7,1.946
equine,6,762,6.636
equines,7,87,4.466
equinox,7,1874,7.536
equip,5,1537,7.338
equipment,9,51532,10.85
equipotent,10,6,1.792
equipped,8,5475,8.608
equipping,9,173,5.153
equitable,9,1003,6.911
equity,6,5096,8.536
equivalence,11,937,6.843
equivalent,10,25895,10.162
equivalents,11,1357,7.213
equivocal,9,94,4.543
equivocate,10,30,3.401
equivocation,12,165,5.106
era,3,15136,9.625
eradicable,10,0,0
eradicate,9,744,6.612
eradication,11,431,6.066
era's,5,55,4.007
erase,5,3422,8.138
erased,6,1648,7.407
eraser,6,593,6.385
erasers,7,172,5.147
erasing,7,525,6.263
erasure,7,853,6.749
ere,3,446,6.1
erect,5,2702,7.902
erected,7,649,6.475
erectile,8,99,4.595
erecting,8,198,5.288
erection,8,2862,7.959
erects,6,55,4.007
ergonomic,9,709,6.564
Eric,4,39370,10.581
Ernest,6,2319,7.749
Ernie,5,2721,7.909
Ernie's,7,73,4.29
erode,5,368,5.908
eroded,6,469,6.151
erogenous,9,143,4.963
Eros,4,723,6.583
erosion,7,2087,7.643
erosive,7,17,2.833
erotic,6,5350,8.585
erotica,7,1749,7.467
erotically,10,117,4.762
eroticism,9,236,5.464
err,3,3570,8.18
errand,6,304,5.717
errant,6,1178,7.072
erratic,7,936,6.842
erratically,11,242,5.489
erred,5,336,5.817
erroneous,9,1876,7.537
erroneously,11,888,6.789
error,5,81660,11.31
errors,6,27767,10.232
errs,4,270,5.598
erudite,7,279,5.631
erudition,9,159,5.069
erupt,5,395,5.979
erupted,7,773,6.65
erupting,8,218,5.384
eruption,8,2905,7.974
erupts,6,162,5.088
escalate,8,504,6.223
escalation,10,693,6.541
escalator,9,189,5.242
escapable,9,15,2.708
escapade,8,169,5.13
escapades,9,179,5.187
escape,6,15846,9.671
escaped,7,3527,8.168
escapee,7,54,3.989
escapees,8,69,4.234
escapes,7,2633,7.876
escape's,8,4,1.386
escaping,8,1442,7.274
escapism,8,119,4.779
escapist,8,105,4.654
escheat,7,34,3.526
eschew,6,366,5.903
eschewed,8,81,4.394
eschewing,9,48,3.871
eschews,7,38,3.638
escort,6,2678,7.893
escorted,8,786,6.667
escorting,9,216,5.375
escorts,7,657,6.488
Eskimo,6,855,6.751
Eskimos,7,229,5.434
esoteric,8,1839,7.517
especial,8,976,6.883
especially,10,94104,11.452
espionage,9,1292,7.164
espousal,8,15,2.708
espouse,7,673,6.512
espoused,8,410,6.016
espouses,8,185,5.22
espousing,9,342,5.835
espresso,8,1543,7.341
esprit,6,310,5.737
espy,4,390,5.966
esquire,7,644,6.468
essay,5,4621,8.438
essayed,7,8,2.079
essayists,9,12,2.485
essays,6,2920,7.979
essence,7,7349,8.902
essences,8,153,5.03
essential,9,16147,9.689
essentially,11,15440,9.645
essentials,10,1007,6.915
establish,9,13482,9.509
established,11,24142,10.092
establishes,11,1240,7.123
establishing,12,5254,8.567
establishment,13,7611,8.937
establishments,14,1018,6.926
estate,6,9437,9.152
estates,7,888,6.789
esteem,6,1253,7.133
esteemed,8,782,6.662
esters,6,120,4.787
esthetic,8,164,5.1
esthetics,9,91,4.511
estimable,9,53,3.97
estimate,8,8772,9.079
estimated,9,8828,9.086
estimates,9,5185,8.554
estimating,10,1036,6.943
estimation,10,1632,7.398
estrange,8,16,2.773
estranged,9,262,5.568
estrangement,12,67,4.205
estranging,10,7,1.946
estuaries,9,71,4.263
estuary,7,97,4.575
eta,3,1495,7.31
etch,4,398,5.986
etched,6,672,6.51
eternal,7,10854,9.292
eternity,8,2985,8.001
ethanol,7,675,6.515
Ethel,5,401,5.994
ether,5,1704,7.441
ethereal,8,528,6.269
ethers,6,102,4.625
ethic,5,1517,7.324
ethical,7,5840,8.672
ethically,9,651,6.479
ethicist,8,30,3.401
ethicists,9,35,3.555
ethics,6,7503,8.923
Ethiopia,8,1001,6.909
Ethiopians,10,236,5.464
ethnic,6,10789,9.286
ethnographer,12,46,3.829
ethnography,11,110,4.7
ethnologist,11,12,2.485
ethnology,9,67,4.205
ethos,5,389,5.964
ethyl,5,466,6.144
etiquette,9,2411,7.788
etymological,12,176,5.17
etymologist,11,16,2.773
etymology,9,480,6.174
eucalyptus,10,237,5.468
eucharist,9,366,5.903
Euclid,6,723,6.583
euclidean,9,411,6.019
Euclid's,8,67,4.205
Eugene,6,4928,8.503
Eugene's,8,48,3.871
eugenic,7,57,4.043
eugenics,8,421,6.043
eulogize,8,8,2.079
eulogized,9,17,2.833
eulogizers,10,0,0
eulogy,6,130,4.868
eunuch,6,252,5.529
euphemism,9,502,6.219
euphemistic,11,46,3.829
euphoria,8,532,6.277
euphoric,8,282,5.642
Eurasia,7,115,4.745
Eurasian,8,177,5.176
eureka,6,2851,7.955
eurhythmic,10,0,0
Eurodollar,10,98,4.585
Europe,6,41563,10.635
European,8,33102,10.407
Europeanization,15,33,3.497
Europeanized,12,9,2.197
Europeans,9,3311,8.105
Europe's,8,833,6.725
euthanasia,10,794,6.677
evacuate,8,472,6.157
evacuated,9,419,6.038
evacuation,10,1032,6.939
evacuee,7,3,1.099
evade,5,785,6.666
evaded,6,218,5.384
evades,6,129,4.86
evading,7,530,6.273
evaluate,8,7252,8.889
evaluated,9,4657,8.446
evaluating,10,3500,8.161
evaluation,10,12507,9.434
evaluations,11,1694,7.435
evaluative,10,108,4.682
evangelical,11,851,6.746
evangelicalism,14,16,2.773
evangelism,10,273,5.609
evangelist,10,982,6.89
evangelists,11,351,5.861
evangelize,10,106,4.663
evaporate,9,879,6.779
evaporated,10,514,6.242
evaporation,11,655,6.485
evaporative,11,124,4.82
evasion,7,934,6.839
evasions,8,96,4.564
evasive,7,636,6.455
eve,3,7830,8.966
Evelyn,6,1227,7.112
even,4,490549,13.103
evening,7,18925,9.848
evenings,8,3041,8.02
evening's,9,321,5.771
evenly,6,1923,7.562
event,5,42825,10.665
eventful,8,110,4.7
eventfully,10,0,0
events,6,40305,10.604
eventual,8,2227,7.708
eventualities,13,39,3.664
eventuality,11,153,5.03
eventually,10,31206,10.348
ever,4,173858,12.066
Everest,7,462,6.136
Everglades,10,166,5.112
evergreen,9,1229,7.114
everlasting,11,1269,7.146
everlastingly,13,17,2.833
evermore,8,205,5.323
every,5,230149,12.346
everybody,9,28861,10.27
everybody's,11,2082,7.641
everyday,8,7270,8.892
everyone,8,119257,11.689
everyone's,10,5641,8.638
everything,10,112573,11.631
everything's,12,938,6.844
everywhere,10,14825,9.604
evict,5,172,5.147
evicted,7,263,5.572
eviction,8,219,5.389
evidence,8,62334,11.04
evidenced,9,1218,7.105
evidences,9,523,6.26
evidencing,10,22,3.091
evident,7,4011,8.297
evidential,10,59,4.078
evidently,9,3242,8.084
evil,4,43736,10.686
evildoer,8,42,3.738
evildoers,9,68,4.22
evils,5,1600,7.378
evince,6,55,4.007
evinced,7,132,4.883
eviscerate,10,52,3.951
evocation,9,74,4.304
evocations,10,10,2.303
evocative,9,302,5.71
evoke,5,576,6.356
evoked,6,370,5.914
evokes,6,285,5.652
evoking,7,144,4.97
evolution,9,16349,9.702
evolutionary,12,3720,8.221
evolutionists,13,353,5.866
evolve,6,3336,8.113
evolved,7,4888,8.495
evolves,7,644,6.468
evolving,8,2245,7.716
ewe,3,418,6.035
exacerbate,10,333,5.808
exacerbated,11,406,6.006
exacerbates,11,102,4.625
exacerbation,12,117,4.762
exacerbations,13,91,4.511
exact,5,25797,10.158
exacted,7,117,4.762
exacting,8,405,6.004
exactly,7,75519,11.232
exacts,6,48,3.871
exaggerate,10,478,6.17
exaggerated,11,1635,7.399
exaggerating,12,486,6.186
exaggeration,12,965,6.872
exaggerations,13,157,5.056
exalt,5,187,5.231
exaltation,10,128,4.852
exaltations,11,3,1.099
exalted,7,785,6.666
exalting,8,35,3.555
exam,4,4218,8.347
examination,11,4756,8.467
examinations,12,780,6.659
examine,7,8398,9.036
examined,8,4425,8.395
examiner,8,963,6.87
examiners,9,309,5.733
examines,8,1080,6.985
examining,9,3054,8.024
example,7,139009,11.842
examples,8,30501,10.326
exasperate,10,8,2.079
exasperated,11,314,5.749
exasperating,12,84,4.431
exasperatingly,14,12,2.485
exasperation,12,160,5.075
exboyfriend,11,8,2.079
excavate,8,88,4.477
excavation,10,498,6.211
excavations,11,269,5.595
excavator,9,38,3.638
exceed,6,5032,8.524
exceeded,8,1984,7.593
exceeding,9,1568,7.358
exceedingly,11,1408,7.25
exceeds,7,2245,7.716
excel,5,12124,9.403
excellence,10,3725,8.223
excellences,11,9,2.197
excellency,10,358,5.881
excellent,9,79398,11.282
excellently,11,261,5.565
excels,6,272,5.606
except,6,83885,11.337
excepting,9,701,6.553
exception,9,18729,9.838
exceptionable,13,5,1.609
exceptional,11,4363,8.381
exceptionally,13,1893,7.546
exceptions,10,8780,9.08
excerpt,7,3483,8.156
excerpts,8,7480,8.92
excess,6,8831,9.086
excesses,8,760,6.633
excessive,9,5938,8.689
excessively,11,1685,7.43
exchange,8,36266,10.499
exchangeable,12,62,4.127
exchanged,9,2555,7.846
exchanges,9,2907,7.975
exchanging,10,2148,7.672
excise,6,448,6.105
excised,7,498,6.211
excision,8,70,4.248
excitability,12,25,3.219
excitatory,10,87,4.466
excite,6,788,6.669
excited,7,8342,9.029
excitedly,9,381,5.943
excitement,10,5307,8.577
exciting,8,14495,9.582
exclaim,7,270,5.598
exclaimed,9,1467,7.291
exclaiming,10,96,4.564
exclaims,8,219,5.389
exclamation,11,730,6.593
exclamations,12,66,4.19
exclamatory,11,8,2.079
exclude,7,3868,8.26
excluded,8,3617,8.193
excludes,8,1064,6.97
excluding,9,2864,7.96
exclusion,9,2375,7.773
exclusions,10,235,5.46
exclusive,9,7845,8.968
exclusively,11,7338,8.901
exclusiveness,13,47,3.85
excommunicate,13,63,4.143
excommunicated,14,242,5.489
excommunication,15,121,4.796
excrement,9,543,6.297
excrete,7,134,4.898
excretion,9,198,5.288
excruciating,12,457,6.125
excursion,9,876,6.775
excursions,10,710,6.565
excusable,9,173,5.153
excuse,6,19298,9.868
excused,7,639,6.46
excuses,7,2829,7.948
execute,7,9234,9.131
executed,8,7558,8.93
executing,9,3169,8.061
execution,9,8625,9.062
executioner,11,704,6.557
executioner's,13,44,3.784
executions,10,1116,7.018
executive,9,19037,9.854
executives,10,3024,8.014
executive's,11,48,3.871
executor,8,1206,7.095
executors,9,95,4.554
exemplar,8,199,5.293
exemplary,9,702,6.554
exemplified,11,549,6.308
exemplifies,11,226,5.421
exemplify,9,105,4.654
exempt,6,2644,7.88
exemption,9,2229,7.709
exemptions,10,808,6.695
exercise,8,19538,9.88
exercised,9,1264,7.142
exercises,9,5458,8.605
exercising,10,2023,7.612
exert,5,1077,6.982
exerted,7,386,5.956
exerting,8,371,5.916
exertion,8,447,6.103
exertions,9,74,4.304
exerts,6,237,5.468
exhalation,10,93,4.533
exhale,6,446,6.1
exhaled,7,134,4.898
exhaling,8,112,4.718
exhaust,7,4006,8.296
exhausted,9,2651,7.883
exhaustible,11,11,2.398
exhausting,10,443,6.094
exhaustingly,12,1,0
exhaustion,10,947,6.853
exhaustive,10,1627,7.394
exhaustively,12,128,4.852
exhausts,8,197,5.283
exhibit,7,5305,8.576
exhibited,9,1163,7.059
exhibiting,10,745,6.613
exhibition,10,3096,8.038
exhibitionism,13,121,4.796
exhibitions,11,755,6.627
exhibitors,10,559,6.326
exhibits,8,2033,7.617
exhilarate,10,2,0.693
exhilarated,11,32,3.466
exhilarating,12,284,5.649
exhilaration,12,81,4.394
exhort,6,93,4.533
exhortation,11,100,4.605
exhortations,12,63,4.143
exhorting,9,105,4.654
exhumation,10,38,3.638
exhumations,11,12,2.485
exhume,6,31,3.434
exhusband,9,5,1.609
exile,5,2654,7.884
exiled,6,552,6.314
exiles,6,511,6.236
exiling,7,8,2.079
exist,5,48160,10.782
existed,7,9326,9.141
existence,9,21162,9.96
existent,8,420,6.04
existential,11,485,6.184
existentialism,14,133,4.89
existentialist,14,129,4.86
existentialists,15,26,3.258
existing,8,31565,10.36
exists,6,27339,10.216
exit,4,25629,10.151
exits,5,2396,7.782
